Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
iD_happy1,1,3,lip,phonemes,89,vC,i,d,2172760,2173081,2172660,alveolar,stop,no,alveolar
uB_happy1,1,1,lip,phonemes,90,vC,u,b,2180794,2181123,2180694,alveolar,stop,no,alveolar
eB_happy1,0,1,control_lip,phonemes,91,vC,e,b,2188757,2189002,2188657,alveolar,stop,no,alveolar
Po_angry2,1,2,lip,phonemes,92,Cv,p,o,2196757,2196842,2196657,bilabial,stop,no,bilabial
Ti_happy1,0,4,control_lip,phonemes,93,Cv,t,i,2204791,2204886,2204691,alveolar,stop,no,alveolar
Bu_angry1,0,1,control_lip,phonemes,94,Cv,b,u,2212722,2212791,2212622,bilabial,stop,yes,bilabial
De_happy1,1,3,lip,phonemes,95,Cv,d,e,2220720,2220770,2220620,alveolar,stop,yes,alveolar
Pe_angry1,1,2,lip,phonemes,96,Cv,p,e,2228718,2228867,2228618,bilabial,stop,no,bilabial
Du_angry1,1,3,lip,phonemes,97,Cv,d,u,2236717,2236802,2236617,alveolar,stop,yes,alveolar
iP_happy1,1,2,lip,phonemes,98,vC,i,p,2244716,2245025,2244616,alveolar,stop,no,alveolar
aD_angry2,0,3,control_lip,phonemes,99,vC,a,d,2252782,2253105,2252682,alveolar,stop,no,alveolar
Bo_happy1,0,1,control_lip,phonemes,100,Cv,b,o,2260747,2260801,2260647,bilabial,stop,yes,bilabial
oP_happy1,1,2,lip,phonemes,101,vC,o,p,2268712,2269047,2268612,alveolar,stop,no,alveolar
Te_angry2,0,4,control_lip,phonemes,102,Cv,t,e,2276710,2276822,2276610,alveolar,stop,no,alveolar
Bi_angry1,1,1,lip,phonemes,103,Cv,b,i,2284743,2284805,2284643,bilabial,stop,yes,bilabial
aP_happy2,0,2,control_lip,phonemes,104,vC,a,p,2292774,2293054,2292674,alveolar,stop,no,alveolar
uB_angry2,1,1,lip,phonemes,105,vC,u,b,2300777,2301116,2300677,alveolar,stop,no,alveolar
iB_angry2,1,1,lip,phonemes,106,vC,i,b,2308706,2309036,2308606,alveolar,stop,no,alveolar
oP_angry2,1,2,lip,phonemes,107,vC,o,p,2316772,NaN,2316672,alveolar,stop,no,alveolar
uP_angry1,1,2,lip,phonemes,108,vC,u,p,2324770,2325112,2324670,alveolar,stop,no,alveolar
eD_angry1,1,3,lip,phonemes,109,vC,e,d,2332804,2333079,2332704,alveolar,stop,no,alveolar
aB_angry2,1,1,lip,phonemes,110,vC,a,b,2340736,2341076,2340636,alveolar,stop,no,alveolar
Po_happy1,1,2,lip,phonemes,111,Cv,p,o,2348734,2348829,2348634,bilabial,stop,no,bilabial
oD_happy1,1,3,lip,phonemes,112,vC,o,d,2356803,2357119,2356703,alveolar,stop,no,alveolar
Di_angry1,0,3,control_lip,phonemes,113,Cv,d,i,2364800,2364886,2364700,alveolar,stop,yes,alveolar
Te_angry1,0,4,control_lip,phonemes,114,Cv,t,e,2372797,2372910,2372697,alveolar,stop,no,alveolar
uP_happy1,1,2,lip,phonemes,115,vC,u,p,2380795,2381076,2380695,alveolar,stop,no,alveolar
To_angry1,1,4,lip,phonemes,116,Cv,t,o,2388728,2388813,2388628,alveolar,stop,no,alveolar
oB_happy1,0,1,control_lip,phonemes,117,vC,o,b,2396735,2397067,2396635,alveolar,stop,no,alveolar
iT_angry1,1,4,lip,phonemes,118,vC,i,t,2404725,2404996,2404625,alveolar,stop,no,alveolar
eT_happy1,1,4,lip,phonemes,119,vC,e,t,2412759,2413020,2412659,alveolar,stop,no,alveolar
uD_angry2,0,3,control_lip,phonemes,120,vC,u,d,2420724,2421089,2420624,alveolar,stop,no,alveolar
uD_happy2,1,3,tongue,phonemes,1,vC,u,d,3641980,3642324,3641880,alveolar,stop,no,alveolar
aD_angry1,1,3,tongue,phonemes,2,vC,a,d,3649944,3650177,3649844,alveolar,stop,no,alveolar
Pu_angry2,1,2,tongue,phonemes,3,Cv,p,u,3657944,3658059,3657844,bilabial,stop,no,bilabial
iT_angry2,0,4,control_tongue,phonemes,4,vC,i,t,3665980,3666224,3665880,alveolar,stop,no,alveolar
Bo_angry2,1,1,tongue,phonemes,5,Cv,b,o,3674010,3674064,3673910,bilabial,stop,yes,bilabial
iD_angry2,1,3,tongue,phonemes,6,vC,i,d,3681938,3682280,3681838,alveolar,stop,no,alveolar
eB_angry1,1,1,tongue,phonemes,7,vC,e,b,3690009,3690329,3689909,alveolar,stop,no,alveolar
