Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
Tu_angry1,1,5,tongue,phonemes,1834314,1834214,159,t,u,,1834426,NaN,alveolar,stop,no,alveolar
Pa_happy2,1,8,tongue,phonemes,1839910,1839810,160,p,a,,1840070,NaN,bilabial,stop,no,bilabial
Be_angry1,0,7,control_tongue,phonemes,1845536,1845436,161,b,e,,1845589,NaN,bilabial,stop,yes,bilabial
Te_happy2,1,5,tongue,phonemes,1851132,1851032,162,t,e,,1851246,NaN,alveolar,stop,no,alveolar
Ba_angry1,1,7,tongue,phonemes,1856726,1856626,163,b,a,,1856779,NaN,bilabial,stop,yes,bilabial
Tu_angry2,0,5,control_tongue,phonemes,1862321,1862221,164,t,u,,1862434,NaN,alveolar,stop,no,alveolar
Pe_happy2,1,8,tongue,phonemes,1867914,1867814,165,p,e,,1868057,NaN,bilabial,stop,no,bilabial
Ti_happy1,1,5,tongue,phonemes,1873509,1873409,166,t,i,,1873604,NaN,alveolar,stop,no,alveolar
To_angry2,1,5,tongue,phonemes,1879105,1879005,167,t,o,,1879203,NaN,alveolar,stop,no,alveolar
Di_angry2,0,4,control_tongue,phonemes,1884698,1884598,168,d,i,,1884787,NaN,alveolar,stop,yes,alveolar
Pi_angry2,1,8,tongue,phonemes,1890292,1890192,169,p,i,,1890408,NaN,bilabial,stop,no,bilabial
Ti_angry2,0,5,control_tongue,phonemes,1895887,1895787,170,t,i,,1896061,NaN,alveolar,stop,no,alveolar
Du_happy1,1,4,tongue,phonemes,1901482,1901382,171,d,u,,1901566,NaN,alveolar,stop,yes,alveolar
Pa_angry2,1,8,tongue,phonemes,1907076,1906976,172,p,a,,1907165,NaN,bilabial,stop,no,bilabial
Ba_happy2,0,7,control_tongue,phonemes,1912672,1912572,173,b,a,,1912787,NaN,bilabial,stop,yes,bilabial
Te_happy1,0,5,control_tongue,phonemes,1918265,1918165,174,t,e,,1918378,NaN,alveolar,stop,no,alveolar
Be_happy2,1,7,tongue,phonemes,1923861,1923761,175,b,e,,1924006,NaN,bilabial,stop,yes,bilabial
Ah1,0,NaN,control_lip,single-phoneme,2216221,2215975,176,a,,,NaN,NaN,vowels,,,vowels
Ee1,0,NaN,control_lip,single-phoneme,2220163,2219937,177,i,,,NaN,NaN,vowels,,,vowels
Eh1,0,NaN,control_lip,single-phoneme,2224101,2223934,178,e,,,NaN,NaN,vowels,,,vowels
Uh1,0,NaN,control_lip,single-phoneme,2228100,2227900,179,u,,,NaN,NaN,vowels,,,vowels
Oo1,0,NaN,control_lip,single-phoneme,2232083,2231895,180,o,,,NaN,NaN,vowels,,,vowels
S1,0,NaN,control_lip,single-phoneme,2236151,2235892,181,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Z1,0,NaN,control_lip,single-phoneme,2240063,2239887,182,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P1,0,NaN,control_lip,single-phoneme,2244028,2243882,183,p,,,NaN,NaN,bilabial,stop,no,bilabial
B1,0,NaN,control_lip,single-phoneme,2248029,2247879,184,b,,,NaN,NaN,bilabial,stop,yes,bilabial
T1,0,NaN,control_lip,single-phoneme,2252365,2251876,185,t,,,NaN,NaN,alveolar,stop,no,alveolar
D1,0,NaN,control_lip,single-phoneme,2256019,2255872,186,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Ee2,0,NaN,control_lip,single-phoneme,2260060,2259867,187,i,,,NaN,NaN,vowels,,,vowels
Uh2,0,NaN,control_lip,single-phoneme,2264044,2263862,188,u,,,NaN,NaN,vowels,,,vowels
Eh2,0,NaN,control_lip,single-phoneme,2268008,2267860,189,e,,,NaN,NaN,vowels,,,vowels
Oo2,0,NaN,control_lip,single-phoneme,2272037,2271856,190,o,,,NaN,NaN,vowels,,,vowels
Ah2,0,NaN,control_lip,single-phoneme,2276086,2275852,191,a,,,NaN,NaN,vowels,,,vowels
D2,0,NaN,control_lip,single-phoneme,2280010,2279846,192,d,,,NaN,NaN,alveolar,stop,yes,alveolar
T2,0,NaN,control_lip,single-phoneme,2284031,2283843,193,t,,,NaN,NaN,alveolar,stop,no,alveolar
B2,0,NaN,control_lip,single-phoneme,2287986,2287841,194,b,,,NaN,NaN,bilabial,stop,yes,bilabial
P2,0,NaN,control_lip,single-phoneme,2291989,2291836,195,p,,,NaN,NaN,bilabial,stop,no,bilabial
Z2,0,NaN,control_lip,single-phoneme,2296121,2295832,196,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
S2,0,NaN,control_lip,single-phoneme,2300079,2299829,197,s,,,NaN,NaN,alveolar,fricative,no,alveolar
Eh3,0,NaN,control_lip,single-phoneme,2303976,2303826,198,e,,,NaN,NaN,vowels,,,vowels
Oo3,0,NaN,control_lip,single-phoneme,2308008,2307822,199,o,,,NaN,NaN,vowels,,,vowels
Ee3,0,NaN,control_lip,single-phoneme,2312009,2311816,200,i,,,NaN,NaN,vowels,,,vowels
Ah3,0,NaN,control_lip,single-phoneme,2316056,2315846,201,a,,,NaN,NaN,vowels,,,vowels
Uh3,0,NaN,control_lip,single-phoneme,2320014,2319842,202,u,,,NaN,NaN,vowels,,,vowels
T3,0,NaN,control_lip,single-phoneme,2324000,2323836,203,t,,,NaN,NaN,alveolar,stop,no,alveolar
